Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,9751.5,9992.5,9607.5,9938,9938,1236953894
2017-11-30,9938,11489,8830,9869.5,9869.5,3490469446
2017-12-01,9869.5,10750.5,8938.5,9960,9960,2291590521
2017-12-02,9960,10988,9347.5,10879.5,10879.5,1948017516
2017-12-03,10879.5,11262.5,10676.5,10910.5,10910.5,1389465247
2017-12-04,10910.5,11896,10402,11210,11210,1662517142
2017-12-05,11210,11685.5,10856,11682,11682,1539285527
2017-12-06,11682,11961,11451,11726,11726,1165153246
2017-12-07,11726,13890.5,11724,13682,13682,2181553335
2017-12-08,13682,17750,13323.5,17427,17427,3745748309
2017-12-09,17427,17719.5,13889.5,16272,16272,2976200225
2017-12-10,16272,16600,13225,14984.5,14984.5,1858006738
2017-12-11,14984.5,16149,13218,15143,15143,2334949262
2017-12-12,15143,17742.5,15102,17009,17009,1661016866
2017-12-13,17009,18067,16200,17236,17236,1618633765
2017-12-14,17236,17561,15855,16436.5,16436.5,1740697543
2017-12-15,16436.5,17145,16103,16651,16651,1046084323
2017-12-16,16651,18296.5,16615.5,17700,17700,1508093617
2017-12-17,17700,19840,17476.5,19547.5,19547.5,1425811474
2017-12-18,19547.5,20093,18737.5,19287.5,19287.5,1816963445
2017-12-19,19287.5,19384,18032.5,19127,19127,1806717297
2017-12-20,19127,19346,16804.5,17663,17663,1864278438
2017-12-21,17663,17943.5,15080,16463,16463,2464171914
2017-12-22,16463,17468.5,15050,15775,15775,1653592333
2017-12-23,15775,15905,10900,13763.5,13763.5,3487515797
2017-12-24,13763.5,15928,13462,14719.5,14719.5,1477899382
2017-12-25,14719.5,14788.5,12521.5,14227.5,14227.5,1662515600
2017-12-26,14227.5,14710.5,13232,13989.5,13989.5,996248193
2017-12-27,13989.5,16384.5,13900,15833.5,15833.5,1375059652
2017-12-28,15833.5,16700,14497.5,15380.5,15380.5,1281235547
2017-12-29,15380.5,15535.5,13450.5,14480,14480,1326750967
2017-12-30,14480,15175,13905,14539.5,14539.5,876425910
2017-12-31,14539.5,14601.5,11973,12673.5,12673.5,1516089382
2018-01-01,12673.5,14350,12468.5,13873,13873,814405650
2018-01-02,13873,14011.5,12772,13477,13477,638958746
2018-01-03,13477,15269,12900,14786.5,14786.5,904159652
2018-01-04,14786.5,15524,14555,15157,15157,812686550
2018-01-05,15157,15500,14150,15186,15186,814142088
2018-01-06,15186,17088,14805,16891,16891,1010611092
2018-01-07,16891,17422,16235,17210,17210,764303511
2018-01-08,17210,17213,15770.5,16224.5,16224.5,863341710
2018-01-09,16224.5,16329,13800,14952.5,14952.5,1473520709
2018-01-10,14952.5,15375,14183,14465,14465,999024212
2018-01-11,14465,15012.5,13426,14963.5,14963.5,1154658078
2018-01-12,14963.5,15033.5,12703.5,13287.5,13287.5,1514629882
2018-01-13,13287.5,14197,12818.5,13874.5,13874.5,886264793
2018-01-14,13874.5,14600,13810,14209,14209,588530993
2018-01-15,14209,14364,13049,13645,13645,806932736
2018-01-16,13645,14374.5,13400,13621,13621,747398582
2018-01-17,13621,13619,10100,11330,11330,2755983315
2018-01-18,11330,11799,9209,11210,11210,2266854171
2018-01-19,11210,12183,10615.5,11252,11252,1431204983
2018-01-20,11252,12078,10956.5,11546.5,11546.5,989529029
2018-01-21,11546.5,13008,11490,12746.5,12746.5,930649076
2018-01-22,12746.5,12757,11088.5,11560,11560,1143587814
2018-01-23,11560,11855,10020,10792.5,10792.5,1486837759
2018-01-24,10792.5,11437,9874,10830,10830,1449900102
2018-01-25,10830,11499,10437,11394.5,11394.5,1131616118
