date,county,sum_sale_dollars,sum_sale_liters
2012-02-14T00:00:00.000,Buchanan,786.29,68.50
2012-12-26T00:00:00.000,Hamilton,18397.00,1307.71
2016-08-22T00:00:00.000,Marion,1132.09,100.12
2016-02-01T00:00:00.000,Clinton,1662.50,106.34
2013-08-27T00:00:00.000,Wright,15639.14,1239.00
2013-01-15T00:00:00.000,Bremer,19282.38,1560.49
2019-07-25T00:00:00.000,WOODBURY,157.50,7.50
2019-03-21T00:00:00.000,Polk,54542.81,3286.02
2016-05-18T00:00:00.000,Iowa,5461.23,482.37
2018-07-06T00:00:00.000,GRUNDY,9295.62,717.34
2017-08-15T00:00:00.000,BLACK HAWK,121651.05,7578.61
2016-10-21T00:00:00.000,Madison,1490.70,101.10
2015-07-16T00:00:00.000,Greene,23141.49,1640.50
2018-09-28T00:00:00.000,MONTGOMERY,11757.53,873.97
2016-07-27T00:00:00.000,Woodbury,147897.82,10095.75
2015-05-05T00:00:00.000,Pottawattamie,84652.02,6365.36
2017-08-18T00:00:00.000,Polk,15637.99,948.45
2016-07-06T00:00:00.000,Sac,11266.83,884.37
2017-02-17T00:00:00.000,BUENA VIST,11.03,0.30
2012-01-09T00:00:00.000,Hancock,1476.59,143.50
2013-07-01T00:00:00.000,Allamakee,17845.45,1384.83
2020-02-18T00:00:00.000,STORY,5143.52,332.47
2016-03-02T00:00:00.000,Allamakee,11632.98,953.34
2016-03-14T00:00:00.000,Buchanan,16410.05,1206.80
2019-09-30T00:00:00.000,BUTLER,1758.00,150.75
2014-12-03T00:00:00.000,Johnson,223337.01,13306.06
2014-06-10T00:00:00.000,Iowa,930.52,108.00
2012-03-27T00:00:00.000,Clinton,53786.32,4187.21
2019-10-23T00:00:00.000,WARREN,1788.24,99.00
2013-07-29T00:00:00.000,Scott,83123.90,5521.18
2012-02-23T00:00:00.000,Marion,959.09,90.71
2019-05-20T00:00:00.000,Polk,629.72,49.27
2018-02-26T00:00:00.000,HENRY,19229.36,1165.65
2013-04-09T00:00:00.000,Dubuque,128915.29,9526.50
2017-01-18T00:00:00.000,Iowa,2246.74,168.90
2012-01-16T00:00:00.000,Johnson,89828.15,6313.37
2018-08-10T00:00:00.000,MAHASKA,15.00,0.75
2019-03-25T00:00:00.000,BREMER,18425.77,1410.98
2019-11-19T00:00:00.000,TAMA,30646.41,1693.55
2019-05-20T00:00:00.000,KEOKUK,18.38,0.75
2018-11-16T00:00:00.000,FREMONT,2494.86,206.25
2013-10-28T00:00:00.000,Muscatine,61178.35,4242.41
2018-11-19T00:00:00.000,Clayton,606.00,12.00
2018-05-17T00:00:00.000,CERRO GORD,70673.81,5838.89
2012-11-07T00:00:00.000,Pottawattamie,9888.30,767.25
2012-04-09T00:00:00.000,Allamakee,11738.46,1109.94
2018-07-24T00:00:00.000,JOHNSON,132877.28,7611.23
2014-05-14T00:00:00.000,Muscatine,2642.89,205.23
2017-06-16T00:00:00.000,HARDIN,16968.75,1252.19
2015-07-22T00:00:00.000,Buchanan,6590.54,550.60
2016-08-05T00:00:00.000,Pottawattamie,74703.99,5398.72
2016-09-01T00:00:00.000,BLACK HAWK,75719.35,5481.66
2015-06-09T00:00:00.000,Sioux,45374.99,2942.10
2019-03-13T00:00:00.000,Hardin,6937.38,589.50
2018-03-21T00:00:00.000,Wapello,8221.88,628.36
2017-04-21T00:00:00.000,KOSSUTH,29073.08,2381.95
2013-01-16T00:00:00.000,Pottawattamie,13532.22,971.83
2013-11-23T00:00:00.000,Plymouth,22936.05,1829.13
2013-01-09T00:00:00.000,Johnson,7317.19,529.00
2014-12-04T00:00:00.000,Greene,10454.69,736.24
2016-06-28T00:00:00.000,Pottawattamie,116666.34,8682.23
2015-01-29T00:00:00.000,Johnson,11767.57,844.50
2014-04-23T00:00:00.000,Ida,7056.68,582.87
2016-03-15T00:00:00.000,Tama,14857.56,1061.47
2016-10-06T00:00:00.000,IOWA,6949.43,519.60
2015-07-07T00:00:00.000,Taylor,3070.59,252.33
2016-12-30T00:00:00.000,JOHNSON,5737.24,378.41
2019-08-30T00:00:00.000,WEBSTER,49656.32,3442.41
2014-01-21T00:00:00.000,Howard,10682.37,918.05
2014-12-26T00:00:00.000,Audubon,8924.00,816.25
2019-09-10T00:00:00.000,DALLAS,22082.09,1380.90
2016-02-22T00:00:00.000,Poweshiek,5356.84,397.50
2018-08-24T00:00:00.000,RINGGOLD,3096.16,220.75
2019-07-12T00:00:00.000,DECATUR,1181.90,82.77
2014-09-29T00:00:00.000,Cerro Gordo,1511.06,127.25
2019-09-13T00:00:00.000,BUENA VIST,1366.06,108.23
2013-08-19T00:00:00.000,Iowa,8328.26,677.38
2018-12-27T00:00:00.000,JACKSON,7623.78,549.79
2012-12-17T00:00:00.000,Madison,31195.44,2132.68
2018-10-01T00:00:00.000,Delaware,9652.36,629.73
2019-03-04T00:00:00.000,WASHINGTON,30021.94,1986.61
2012-08-13T00:00:00.000,Cerro Gordo,99305.59,7618.91
2020-01-16T00:00:00.000,IOWA,1512.98,89.11
2014-07-02T00:00:00.000,Wayne,1780.65,132.00
2013-08-26T00:00:00.000,Adair,8654.49,750.62
2017-07-05T00:00:00.000,MONROE,7341.94,471.21
2013-08-13T00:00:00.000,Ringgold,4134.09,308.63
2016-07-11T00:00:00.000,Jones,8346.36,700.50
2018-03-05T00:00:00.000,HANCOCK,1318.65,116.25
2019-11-16T00:00:00.000,DUBUQUE,246137.33,13913.13
2015-12-16T00:00:00.000,Ida,10525.18,746.18
2017-10-11T00:00:00.000,WINNESHIEK,0.00,0.75
2018-03-28T00:00:00.000,MAHASKA,24297.06,1667.48
2017-10-09T00:00:00.000,APPANOOSE,0.00,0.75
2019-05-24T00:00:00.000,Wapello,1117.27,84.75
2019-01-31T00:00:00.000,JASPER,21781.18,1634.95
2018-04-02T00:00:00.000,BUCHANAN,9523.60,750.01
2018-06-05T00:00:00.000,POLK,241857.89,15577.39
2013-07-18T00:00:00.000,Wright,1782.30,182.50
2017-03-21T00:00:00.000,CALHOUN,7426.74,693.78
